Width,Height,Channels,Method,ExecutionTime(ms)
128,128,1,OpenCV Grayscale,0.01392
128,128,1,Manual Grayscale,0.090705
128,128,3,OpenCV Color,0.079188
128,128,3,Manual Color,0.276886
128,128,3,Manual YCbCr Color,0.179492
128,128,3,OpenCV YCbCr Color,0.059878
256,256,1,OpenCV Grayscale,0.050256
256,256,1,Manual Grayscale,0.340676
256,256,3,OpenCV Color,0.305135
256,256,3,Manual Color,1.10278
256,256,3,Manual YCbCr Color,0.576518
256,256,3,OpenCV YCbCr Color,0.236419
512,512,1,OpenCV Grayscale,0.359662
512,512,1,Manual Grayscale,1.42299
512,512,3,OpenCV Color,1.07907
512,512,3,Manual Color,4.35383
512,512,3,Manual YCbCr Color,1.93376
512,512,3,OpenCV YCbCr Color,0.623146
1024,1024,1,OpenCV Grayscale,0.439739
1024,1024,1,Manual Grayscale,6.19728
1024,1024,3,OpenCV Color,3.16324
1024,1024,3,Manual Color,17.7701
1024,1024,3,Manual YCbCr Color,9.36044
1024,1024,3,OpenCV YCbCr Color,2.13383
2048,2048,1,OpenCV Grayscale,2.79777
2048,2048,1,Manual Grayscale,22.986
2048,2048,3,OpenCV Color,7.95114
2048,2048,3,Manual Color,67.0939
2048,2048,3,Manual YCbCr Color,30.2939
2048,2048,3,OpenCV YCbCr Color,9.94208
